id,user_id,vehicle_id,status,current_latitude,current_longitude,availability,average_speed_kmh,completed_deliveries
af4c26dc-ea9e-4e7b-afd0-64204aafa855,cacafd64-6950-4314-a7f7-992835a036b8,254ecd50-495a-4112-a03e-058b3f47961e,busy,17.473697979641734,78.54984675929704,True,15.17,2786
3eca6796-f1df-4e10-a23d-0326c6b67d0b,b6b8b894-6056-46ab-b4a3-08bc11c41fc8,e8df0ad4-1172-451d-b058-2828e1bad625,available,13.005541869985125,80.19713945253154,False,32.59,476
436a802a-4c90-4840-bddd-2291ec1a80c7,39ede075-55b7-4c51-8f6b-83649df77793,7c4665b1-cf13-4838-b55a-336977ce27f0,available,12.998328850072367,80.28011259344949,True,30.77,1489
c82e97a0-6861-43ee-a818-a8bcec5b5204,be5b2099-e73e-4007-b282-d4aef6317293,b6b5e9aa-0ef2-41bb-94ef-8309d426ed5a,busy,13.028529637244995,80.22084875705153,True,43.27,2500
3115f572-f836-4164-82d8-92b310c57443,138c2052-a7f2-4c5a-822b-682852408e5d,f80af3d6-12cd-47e8-85c9-534aec70fd20,available,13.010259733050697,77.49290875477071,False,16.65,1669
7f162e8f-223d-42b9-ac47-3b9a1277f1ea,ce6abb9a-2b53-496d-bf5b-50cd57bc4395,b5ad9a7e-29c0-4e17-ac72-bc0c2866ba01,offline,17.460117787677607,78.47281445856957,False,35.27,1101
d02e6e81-43ca-40db-8e4b-e2d40f04979a,5f5f453e-8cf1-4135-a8ec-f8b344cd71d9,06366ddc-bbe1-40d5-aca7-871406f1a05e,offline,17.52995285410514,78.42452474932064,True,42.47,3269
c63f6ec4-57d1-4b7c-a7c4-fd7af6f13dd4,818b28c7-aae7-427f-a82d-47866476d5c0,1abbfcdf-4b92-40cf-9a0f-5c225f7877cf,busy,13.048508964599954,80.172795966077,True,44.2,1737
90125e5e-8fc2-4f8b-902d-2f43ff6080a4,b00d4cc4-07a9-48b3-91b9-0d29e2ea3ecf,44270a43-71a2-4c84-89d3-af6b51e1ad2b,available,17.316515059218695,78.51172235193367,True,30.92,2217
ae3013c1-9ac9-49a6-b57d-019d12870887,6f46c2a5-b06a-4b96-aaa7-860199891ea8,6adbd33a-93c7-44c0-a5a0-8a3f205c1b3f,busy,12.904142370244505,80.16496623773031,True,32.9,1533
5c6058b8-611f-4822-b585-f591cfced5e1,0347323b-4615-4172-b50a-b6072291265a,8722ca8d-3440-465f-84e8-ecd6c05e0966,available,13.11258095735446,80.20978448156076,True,22.04,2970
31ce7d27-e381-4752-87f2-29971b429938,a942ee66-9767-4c0f-9c87-5657baed0f3f,502b0c3d-e6d1-4002-a327-4bd8db496f65,available,17.312812471460308,78.50205616486083,False,26.86,3857
e3de8869-fc95-4f6c-8634-dd061cc316d7,2a5d2ec5-31ad-4802-9cc6-f4e3ea68125d,0290555e-4fb7-47cc-934d-640bb62773e8,busy,12.987138612307817,77.54370594158512,True,27.63,686
8e23272d-79c4-4f41-bd87-23af2849b51b,d8e9f3fd-903b-4e3c-8fab-6182136d4813,80834b9e-755c-4082-9658-c0864ae9e8b3,busy,12.913521465620546,80.22478337395404,False,19.45,3806
3da0f20e-149f-4c4c-8376-e6a4d349ac21,75cd87d0-a957-441d-9a6d-82afddf22af2,e94d994a-0880-4285-a963-fdbb736413bc,busy,12.93285166675143,80.23797175813816,True,35.65,4079
f14ce066-a718-4ea9-b46b-81f10f66329b,f2fcf046-55a6-41cd-850e-89bc0fae0485,a1e0b002-d4f0-44e1-b5e2-a449cc64190c,busy,17.429638544359374,78.50509547557704,True,34.27,1944
7f88d853-dd0a-4bbb-9493-577396509d66,1bc1e33c-a716-403f-a72d-19c4f0263466,1d1d2b0e-205d-4f06-a90f-cf9de5d9e4a0,available,17.30460294625611,78.5749645026359,False,30.14,3865
7827dd83-c0bf-48ea-a133-b0aadffe606c,48652ac3-2634-4740-843d-193218af9c05,c2376045-16ff-421d-8e2c-958bfbfdfbf1,offline,12.872049988240278,77.61523576913673,True,21.25,193
fc562a45-917b-40b2-a232-7af951881c6b,804f2885-6e20-4a57-9e03-b83786afbc9e,440e9c8c-33cd-49e4-bf1b-25cf926fa387,busy,12.880343168608526,77.70048490994871,False,19.64,4245
e3fa533a-50c5-4dc9-a4cc-52db4712a54c,fef9cbe1-9087-4b69-b13e-3a8f9e9bba20,129791d7-03b0-4ea9-9d18-541f359f1ac3,busy,13.013587075113728,80.29386420810535,True,16.98,1859
f1183a80-ef9e-42eb-af3c-3e7d0b81665b,c2ca472f-fce0-4b18-b086-2236de08080d,89f16b1c-3f5e-4b6c-8d4b-d9dc97e6d289,inactive,13.026651032694687,77.51348211778715,False,16.47,2390
d4e1502c-fbd2-41ab-8643-15e8d6254ef8,0d8f3832-dace-4bc1-942f-13ef74a65b53,7139e4c5-62b1-4338-917a-737a017038c7,offline,17.486138046789584,78.43101533427827,False,38.64,4841
c6b05c4a-b075-40e1-a86d-f772773fb338,b52cb109-05cc-421f-a5e7-b72886633c9b,3d986d8a-0fbb-426c-a66b-78a77948845c,available,13.07964885069366,80.19322802568952,False,37.8,4440
7f4d47b5-1a76-464a-8479-2cac6f0f1d9c,17b5d6f2-dba4-4381-9116-2b7f8f0bcb34,189d4c2f-9a71-4995-b631-e8fc939c0fb8,offline,12.982284732639405,80.27029167322317,False,18.23,3937
82a17630-dfdc-41e9-8d85-38c712bf06cd,752aace0-ad1d-47e2-b421-4abda0f24e42,58dfa382-1567-4350-b10f-d74bda354bbc,busy,13.052112583002007,80.20359902510556,True,36.73,3174
263ca876-0f5e-420e-959a-72184cb71ddf,19fae20c-a981-4836-999b-3ba0f12a4f78,17bc10fc-79fb-43be-8406-1576990d6689,busy,17.34513843820767,78.47328666020387,False,41.67,3637
3940b6f2-1ec0-446b-a1bf-d551f98821af,40578e9b-6e4c-4582-a39f-92d105e127e7,60e1c0e0-2d40-40d0-bd5a-e091080f8b4d,busy,17.3391280648898,78.35365098515979,False,28.77,2897
b1f3a012-f72f-4a57-bfea-27997968626b,7bf67aba-cede-413c-8369-722749a94741,a3debf52-066d-4390-88d4-e80de7fdb8db,busy,13.139069930315772,80.18462449443645,False,35.28,3136
